candidate_id,fdl_path,s2p_path,accepted,reject_reason,r0,W,S,N,pitch,outer_radius,fill_ratio,L_3p75_nH,Q_3p75,Q_3p0,Q_4p5
LQ_N2p5_R48_W9p6_S12,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N2p5_R48_W9p6_S12.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N2p5_R48_W9p6_S12.s2p,1,,48.0,9.6,12.0,2.5,21.6,102.0,0.4444444444444444,1.4131693563631698,27.063772094896358,23.33732421132717,30.578914819393127
LQ_N2p5_R48_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N2p5_R48_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N2p5_R48_W10p4_S14.s2p,1,,48.0,10.4,14.0,2.5,24.4,109.0,0.42622950819672134,1.435029289576395,28.336322427582544,24.388578311193932,31.946144361547947
LQ_N2p5_R56_W9p6_S12,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N2p5_R56_W9p6_S12.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N2p5_R56_W9p6_S12.s2p,1,,56.0,9.6,12.0,2.5,21.6,110.0,0.4444444444444444,1.6037087357313815,31.03316518831659,25.960140664501008,34.98982929183625
LQ_N2p5_R56_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N2p5_R56_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N2p5_R56_W10p4_S14.s2p,1,,56.0,10.4,14.0,2.5,24.4,117.0,0.42622950819672134,1.6216239926194684,30.263911854400043,25.916362294996258,34.14466243091531
LQ_N2p5_R64_W9p6_S12,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N2p5_R64_W9p6_S12.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N2p5_R64_W9p6_S12.s2p,1,,64.0,9.6,12.0,2.5,21.6,118.0,0.4444444444444444,1.8000690581041237,32.4805693018405,26.99565182226681,37.632312925462145
LQ_N2p5_R64_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N2p5_R64_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N2p5_R64_W10p4_S14.s2p,1,,64.0,10.4,14.0,2.5,24.4,125.0,0.42622950819672134,1.817685355265515,32.86057685622143,28.385357092777966,36.306731502486805
LQ_N2p5_R72_W9p6_S12,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N2p5_R72_W9p6_S12.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N2p5_R72_W9p6_S12.s2p,1,,72.0,9.6,12.0,2.5,21.6,126.0,0.4444444444444444,2.005130628697437,33.241571804236614,27.90383394354302,38.52874361204293
LQ_N2p5_R72_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N2p5_R72_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N2p5_R72_W10p4_S14.s2p,1,,72.0,10.4,14.0,2.5,24.4,133.0,0.42622950819672134,2.0187384397192036,34.62314336051344,29.71099469469124,38.406107472283814
LQ_N3p5_R56_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R56_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R56_W10p4_S14.s2p,1,,56.0,10.4,14.0,3.5,24.4,141.39999999999998,0.42622950819672134,2.9853105117341583,34.80678467661458,30.49177974688765,38.53579263358815
LQ_N3p5_R56_W10p4_S15,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R56_W10p4_S15.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R56_W10p4_S15.s2p,1,,56.0,10.4,15.0,3.5,25.4,144.89999999999998,0.40944881889763785,3.022677233349573,34.80486936634352,30.33786405628575,38.724638576343175
